Name,LastSeen,FirstSeen,NetLastSeen,NetFirstSeen,IpAddress,MacAddress,IsOnline,SerialNumber,HardwareMACAddress,AirWatchID,MerakiID,BatteryLevel,SpaceInternalRemaining,SpaceInternalTotal,IsPosi2_6_0Installed,IsMACRandomizationDisableInstalled
OBS0455POS Android 13.0 10.4.55.111,8/6/2024 16:12,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10.4.55.111,F40228DA02F4,FALSE,R52RC05CW7H,,6805,,1,45834,52889,FALSE,FALSE
OBS3922POS Android 13.0 10.39.22.114,10/7/2024 19:03,1/1/0001 12:00:00 AM,10/7/2024 19:03,2/28/2024 21:05,10.39.22.114,F40228DA0C08,FALSE,R52RC01PQPF,F40228DA0C08,7519,k69eab9,6,45335,52889,FALSE,FALSE
OBS2019POS Android 13.0 10.20.19.113,2/2/2024 23:59,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10.20.19.113,F40228867D74,FALSE,R52R80HBWEA,,7578,,48,45837,52889,FALSE,FALSE
OBS2019POS Android 13.0 10.20.19.110,10/7/2024 20:20,1/1/0001 12:00:00 AM,10/7/2024 20:32,1/30/2024 23:43,10.20.19.110,F402286D1FC5,TRUE,R52R80G698Z,F402286D1FC5,7581,k5664b6,100,45691,52889,FALSE,FALSE
OBS2019POS Android 13.0 10.20.19.116,8/26/2024 22:18,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10.20.19.116,F402286D21C2,FALSE,R52R80H8RBJ,,7583,,72,45369,52889,FALSE,FALSE
OBS2019POS Android 13.0 10.20.19.117,10/7/2024 20:02,1/1/0001 12:00:00 AM,10/7/2024 20:33,2/1/2024 21:14,10.20.19.117,F40228867BD1,TRUE,R52R80HBHKW,F40228867BD1,7584,k46d1c8,100,45523,52889,FALSE,FALSE
OBS2019POS Android 13.0 10.20.19.120,10/7/2024 19:20,1/1/0001 12:00:00 AM,10/7/2024 20:32,1/30/2024 20:51,10.20.19.120,F402286D2089,TRUE,R52R80H8LKW,F402286D2089,7586,ka91fb8,100,45452,52889,FALSE,FALSE
OBS2019POS Android 13.0 10.20.19.119,10/7/2024 19:51,1/1/0001 12:00:00 AM,10/7/2024 20:33,2/3/2024 22:03,10.20.19.119,F402286D21D1,TRUE,R52R80H86FW,F402286D21D1,7588,k2f98db,95,45537,52889,FALSE,FALSE
OBS2331POS Android 13.0 10.23.31.111,10/7/2024 20:06,1/1/0001 12:00:00 AM,10/7/2024 20:31,2/22/2024 0:36,10.23.31.111,F4022882FCBD,TRUE,R52R80H8GLH,F4022882FCBD,7596,kce98c5,97,45579,52889,FALSE,FALSE
OBS2331POS Android 13.0 10.23.31.115,10/7/2024 19:58,1/1/0001 12:00:00 AM,10/7/2024 20:31,2/21/2024 16:28,10.23.31.115,F40228867360,TRUE,R52R80HB9XA,F40228867360,7598,kf10253,100,45410,52889,FALSE,FALSE
OBS2331POS Android 13.0 10.23.31.119,10/2/2024 2:18,1/1/0001 12:00:00 AM,10/2/2024 2:20,2/21/2024 22:06,10.23.31.119,F402286D3607,FALSE,R52R80HC1VA,F402286D3607,7600,kac7be9,1,45549,52889,FALSE,FALSE
OBS2331POS Android 13.0 10.23.31.118,9/12/2024 22:21,1/1/0001 12:00:00 AM,9/12/2024 22:57,2/22/2024 1:39,10.23.31.118,F40228867B80,FALSE,R52R80HBVRR,F40228867B80,7601,k106778,100,45215,52889,FALSE,FALSE
OBS2331POS Android 13.0 10.23.31.117,10/7/2024 20:03,1/1/0001 12:00:00 AM,10/7/2024 20:31,2/22/2024 7:20,10.23.31.117,F4022886752F,TRUE,R52R80HBV9Y,F4022886752F,7602,kee703f,100,45503,52889,FALSE,FALSE
OBS4350POS Android 13.0 10.43.50.111,10/7/2024 20:10,1/1/0001 12:00:00 AM,10/7/2024 20:32,3/6/2024 12:46,10.43.50.111,F4022882FF08,TRUE,R52R80H8V3M,F4022882FF08,7605,kde2103,100,45610,52889,FALSE,FALSE
OBS4350POS Android 13.0 10.43.50.117,10/7/2024 20:06,1/1/0001 12:00:00 AM,10/7/2024 20:32,3/7/2024 5:02,10.43.50.117,F402286D3ADA,TRUE,R52R80H7VXF,F402286D3ADA,7606,k96d428,100,45600,52889,FALSE,FALSE
OBS4350POS Android 13.0 10.43.50.110,10/7/2024 20:15,1/1/0001 12:00:00 AM,10/7/2024 20:32,3/7/2024 1:10,10.43.50.110,F40228815060,TRUE,R52R80FA50E,F40228815060,7607,kb22c33,100,45473,52889,FALSE,FALSE
OBS4350POS Android 13.0 10.43.50.121,10/6/2024 20:09,1/1/0001 12:00:00 AM,9/24/2024 23:05,3/7/2024 6:20,10.43.50.121,F402286D35C1,FALSE,R52R80H82YF,F402286D35C1,7608,k4bf911,100,45737,52889,FALSE,FALSE
OBS4350POS Android 13.0 10.43.50.116,10/7/2024 20:17,1/1/0001 12:00:00 AM,10/7/2024 20:32,3/6/2024 13:04,10.43.50.116,F402286D1F2F,TRUE,R52R80H57LR,F402286D1F2F,7609,k759419,100,45796,52889,FALSE,FALSE
OBS4350POS Android 13.0 10.43.50.118,10/7/2024 19:53,1/1/0001 12:00:00 AM,10/7/2024 20:32,3/8/2024 22:01,10.43.50.118,F402286D35F0,TRUE,R52R80H856H,F402286D35F0,7610,kb88936,100,45607,52889,FALSE,FALSE
OBS4350POS Android 13.0 10.43.50.113,10/7/2024 19:54,1/1/0001 12:00:00 AM,10/7/2024 20:32,3/6/2024 16:03,10.43.50.113,F402288300C6,TRUE,R52R80H5S1R,F402288300C6,7611,kbd99de,100,45400,52889,FALSE,FALSE
OBS4350POS Android 13.0 10.43.50.114,10/7/2024 20:21,1/1/0001 12:00:00 AM,10/7/2024 20:32,3/7/2024 9:20,10.43.50.114,F402286D39DD,TRUE,R52R80H826X,F402286D39DD,7612,k3adbfe,100,45284,52889,FALSE,FALSE
OBS4758POS Android 13.0 10.47.58.116,10/7/2024 19:55,1/1/0001 12:00:00 AM,10/7/2024 20:29,2/7/2024 16:23,10.47.58.116,F40228867CEA,TRUE,R52R80HBK4M,F40228867CEA,7613,kf00943,68,45585,52889,FALSE,FALSE
OBS4758POS Android 13.0 10.47.58.111,10/7/2024 20:17,1/1/0001 12:00:00 AM,10/7/2024 20:29,2/7/2024 23:56,10.47.58.111,F402286D3A32,TRUE,R52R80HB9HX,F402286D3A32,7614,k371fe9,100,45475,52889,FALSE,FALSE
OBS4758POS Android 13.0 10.47.58.120,10/7/2024 19:47,1/1/0001 12:00:00 AM,10/7/2024 20:29,2/8/2024 12:12,10.47.58.120,F40228867CE6,TRUE,R52R80HCBPW,F40228867CE6,7617,kfc9227,99,45680,52889,FALSE,FALSE
OBS4758POS Android 13.0 10.47.58.121,10/7/2024 20:13,1/1/0001 12:00:00 AM,10/7/2024 20:29,2/7/2024 13:36,10.47.58.121,F40228867D06,TRUE,R52R80HC3RE,F40228867D06,7618,k4c7582,100,45528,52889,FALSE,FALSE
OBS4758POS Android 13.0 10.47.58.112,10/7/2024 19:55,1/1/0001 12:00:00 AM,10/7/2024 20:29,2/21/2024 15:21,10.47.58.112,F40228867CD4,TRUE,R52R80HCC7W,F40228867CD4,7620,k4cc4d9,30,45408,52889,FALSE,FALSE
OBS4758POS Android 13.0 10.47.58.115,10/6/2024 19:08,1/1/0001 12:00:00 AM,10/7/2024 19:48,2/8/2024 6:38,10.47.58.115,F40228867D68,FALSE,R52R80HC3QT,F40228867D68,7622,k67131f,19,45295,52889,FALSE,FALSE
OBS4758POS Android 13.0 10.47.58.114,10/7/2024 19:49,1/1/0001 12:00:00 AM,10/7/2024 20:28,2/8/2024 8:34,10.47.58.114,F402288678F4,TRUE,R52R80HBKHR,F402288678F4,7623,k4b5390,100,46092,52889,FALSE,FALSE
OBS4758POS Android 13.0 10.47.58.118,10/7/2024 19:34,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10.47.58.118,F40228867392,FALSE,R52R80HC1ZD,,7624,,92,45388,52889,FALSE,FALSE
OBS4758POS Android 13.0 10.47.58.113,10/7/2024 0:30,1/1/0001 12:00:00 AM,10/7/2024 0:42,2/7/2024 21:32,10.47.58.113,F402288672DD,FALSE,R52R80HBY7X,F402288672DD,7625,k1bc822,64,46965,52889,FALSE,FALSE
OBS4758POS Android 13.0 10.47.58.117,10/7/2024 20:13,1/1/0001 12:00:00 AM,10/7/2024 20:29,2/7/2024 20:25,10.47.58.117,F40228867CE8,TRUE,R52R80HCBKJ,F40228867CE8,7626,k72322d,99,46969,52889,FALSE,FALSE
OBS4758POS Android 13.0 10.47.58.119,10/7/2024 20:14,1/1/0001 12:00:00 AM,10/7/2024 20:29,2/14/2024 17:12,10.47.58.119,F402286D38D7,TRUE,R52R80HBEQY,F402286D38D7,7627,ka9ccf4,68,47083,52889,FALSE,FALSE
OBS4429POS Android 13.0 10.44.29.112,10/7/2024 19:54,1/1/0001 12:00:00 AM,10/7/2024 20:29,3/1/2024 3:32,10.44.29.112,F402286D2149,TRUE,R52R80HBXXK,F402286D2149,7630,k3a4efd,100,45460,52889,FALSE,FALSE
OBS4467POS Android 13.0 10.44.67.115,10/7/2024 2:47,1/1/0001 12:00:00 AM,10/7/2024 2:48,2/29/2024 22:23,10.44.67.115,F40228867D33,FALSE,R52R80G6EAP,F40228867D33,7631,kbb7379,93,45737,52889,FALSE,FALSE
OBS4467POS Android 13.0 10.44.67.110,10/7/2024 19:51,1/1/0001 12:00:00 AM,10/7/2024 20:28,2/28/2024 22:38,10.44.67.110,F4022882FB91,TRUE,R52R80FADKV,F4022882FB91,7632,k2ecb3b,53,45814,52889,FALSE,FALSE
OBS4350POS Android 13.0 10.43.50.119,10/7/2024 19:59,1/1/0001 12:00:00 AM,10/7/2024 20:32,3/7/2024 9:33,10.43.50.119,F4022882FF10,TRUE,R52R80H6BMA,F4022882FF10,7633,kc717cb,99,45435,52889,FALSE,FALSE
OBS4350POS Android 13.0 10.43.50.115,10/7/2024 20:17,1/1/0001 12:00:00 AM,10/7/2024 20:32,3/6/2024 20:38,10.43.50.115,F402286D3860,TRUE,R52R80HB8XW,F402286D3860,7634,kd0118f,100,45646,52889,FALSE,FALSE
OBS4350POS Android 13.0 10.43.50.120,10/7/2024 19:50,1/1/0001 12:00:00 AM,10/7/2024 20:32,3/6/2024 20:29,10.43.50.120,F402288350D6,TRUE,R52R80H6MYJ,F402288350D6,7635,kbbb5f1,100,45569,52889,FALSE,FALSE
OBS4429POS Android 13.0 10.44.29.111,10/7/2024 19:46,1/1/0001 12:00:00 AM,10/7/2024 20:29,2/28/2024 14:15,10.44.29.111,F40228867500,TRUE,R52R80HC20L,F40228867500,7636,k827b62,100,45408,52889,FALSE,FALSE
OBS4429POS Android 13.0 10.44.29.113,10/7/2024 20:19,1/1/0001 12:00:00 AM,10/7/2024 20:29,3/1/2024 21:21,10.44.29.113,F402286D2222,TRUE,R52R80HBMQZ,F402286D2222,7639,k3f1cd8,91,45397,52889,FALSE,FALSE
